Control_1	Control_2	Control_3	Patient_1	Patient_2	Patient_3
AKIRIN1	957	753	604	417	447	409
AKIRIN2	308	264	297	137	103	78
AKNA	654	835	745	428	859	554
AKNAD1	1	0	0	0	0	0
AKR1A1	85	55	53	55	64	38
AKR1B1	119	96	190	72	77	50
AKR1B10	0	0	0	0	0	0
AKR1C1	1	6	0	0	1	1
AKR1C2	0	0	3	0	0	0
AKR1C3	8	38	32	3	0	6
AKR1C4	0	0	0	0	0	0
AKR1C6P	0	0	0	0	0	0
AKR1CL1	0	0	0	0	0	0
AKR1D1	0	0	0	0	0	0
AKR1E2	1	9	0	0	2	1
AKR7A2	12	20	13	6	4	6
AKR7A2P1	3	2	11	1	1	2
AKR7A3	0	0	3	0	0	0
AKR7L	6	1	0	4	2	5
AKT1	113	137	72	59	60	50
AKT1S1	16	25	18	10	12	2
AKT2	329	234	327	499	702	570
AKT3	441	351	437	233	259	206
AKTIP	31	32	61	34	63	37
AL022344.4	0	0	0	0	0	0
AL022476.2	1	1	3	0	0	0
AL132709.5	1	6	0	0	0	0
AL592528.1	0	0	0	2	6	1
ALAD	68	83	43	17	24	27
ALAS1	283	238	309	48	73	31
ALAS2	5	0	0	44	2	51
ALB	0	1	0	0	2	0
ALCAM	322	399	284	157	127	146
ALDH16A1	39	25	41	21	34	15
ALDH18A1	31	27	12	44	74	53
ALDH1A1	209	118	11	11	4	9
ALDH1A2	4	0	4	6	0	1
ALDH1A3	0	1	0	0	1	0
ALDH1B1	4	4	0	6	7	6
ALDH1L1	0	0	0	0	0	0
ALDH1L1-AS1	0	0	0	0	1	0
ALDH1L2	3	19	1	8	13	2
ALDH2	258	377	200	53	40	25
ALDH3A1	0	0	0	0	0	0
ALDH3A2	121	123	154	36	38	19
ALDH3B1	49	85	22	12	3	6
ALDH3B2	0	0	0	0	0	0
ALDH4A1	5	6	0	2	0	2
ALDH5A1	45	19	27	9	20	7
ALDH6A1	39	30	56	20	23	14
ALDH7A1	4	16	13	0	3	2
ALDH8A1	5	5	0	2	4	0
ALDH9A1	155	150	202	118	195	219
ALDOA	579	817	567	179	167	115
ALDOB	0	0	0	0	3	1
ALDOC	24	35	38	3	9	8
ALG1	15	13	23	23	54	14
ALG10	25	13	52	33	42	28
ALG10B	32	24	15	47	63	49
ALG11	13	16	47	29	37	47
ALG12	13	15	19	9	23	19
ALG13	1291	384	758	399	815	464
ALG14	6	6	1	8	10	2
ALG1L	3	0	1	3	2	0
ALG1L2	0	0	0	0	0	0
ALG1L9P	4	0	0	2	5	2
ALG2	200	183	278	198	234	179
ALG3	26	25	38	28	39	39
ALG5	34	47	44	73	60	64
ALG6	30	44	47	23	17	12
ALG8	84	83	120	47	74	64
ALG9	65	60	92	76	98	74
ALK	3	4	0	3	2	1
ALKBH1	50	29	27	36	56	29
ALKBH2	10	6	28	19	18	20
ALKBH3	12	17	7	22	33	35
ALKBH3-AS1	1	1	0	3	13	1
ALKBH4	11	6	35	9	22	17
ALKBH5	326	235	539	211	234	228
ALKBH6	18	13	9	8	4	18
ALKBH7	16	16	36	5	6	9
ALKBH8	35	31	57	24	60	26
ALLC	0	0	0	0	0	0
ALMS1	605	569	782	303	494	285
ALMS1-IT1	19	9	10	13	27	14
ALMS1P	1	1	3	1	2	0
ALOX12	14	13	34	10	11	3
ALOX12B	0	0	0	0	0	0
ALOX12P2	1	4	2	0	1	0
ALOX15	0	3	0	0	0	0
